name,pos,rank,value
Nikola Jokic,C,1,65
Shai Gilgeous-Alexander,PG,2,62
Luka Doncic,PG,3,61
Victor Wembanyama,C,4,60
Giannis Antetokounmpo,PF/C,5,59
Jalen Johnson,PF,6,58
Cade Cunningham,PG,7,57
Anthony Edwards,SG/SF,8,56
Jayson Tatum,SF/PF,9,55
Donovan Mitchell,PG/SG,10,54
Domantas Sabonis,PF/C,11,53
Tyrese Maxey,PG/SG,12,52
Jalen Brunson,PG,13,50
Trae Young,PG,14,48
Scottie Barnes,SG/SF,15,46
Josh Giddey,PG/SG,16,45
Amen Thompson,SG/SF,17,44
Devin Booker,PG/SG,18,43
Tyrese Haliburton,PG/SG,19,42
Alperen Sengun,C,20,41
Kevin Durant,SF/PF,21,40
Karl-Anthony Towns,C,22,37
James Harden,PG/SG,23,36
Cooper Flagg,SF/PF,24,34
Pascal Siakam,PF,25,32
Jalen Duren,C,26,29
LaMelo Ball,PG,27,28
Jamal Murray,PG,28,27
Anthony Davis,PF/C,29,26
Deni Avdija,SF/PF,30,26
Bam Adebayo,PF/C,31,25
Kawhi Leonard,SF/PF,32,24
Jalen Williams,SF/PF,33,23
Evan Mobley,PF/C,34,22
Derrick White,PG/SG,35,21
Stephen Curry,PG,36,20
Darius Garland,PG,37,20
Kon Knueppel,SG/SF,38,20
Austin Reaves,PG/SG,39,19
Desmond Bane,SG/SF,40,17
Jaylen Brown,SG/SF,41,16
LeBron James,SF/PF,42,15
De'Aaron Fox,PG/SG,43,15
Mikal Bridges,SG/SF,44,14
Paolo Banchero,SF/PF,45,14
Nickeil Alexander-Walker,PG/SG,46,13
Michael Porter Jr.,SF/PF,47,13
Dyson Daniels,PG/SG,48,12
Julius Randle,PF,49,12
Lauri Markkanen,SF/PF,50,11
Dejounte Murray,PG/SG,51,11
Stephon Castle,PG/SG,52,10
Jarrett Allen,C,53,10
Kyrie Irving,PG,54,10
Tyler Herro,PG/SG,55,9
Naz Reid,PF/C,56,9
Brandon Ingram,SF/PF,57,8
Zion Williamson,PF/C,58,8
Franz Wagner,SF/PF,59,8
Brandon Miller,SG/SF,60,7
Damian Lillard,PG,61,7
Onyeka Okongwu,C,62,7
Keyonte George,PG/SG,63,7
Trey Murphy III,SG/SF,64,7
Norman Powell,SG/SF,65,7
Caleb Wilson,SF,66,6
Cameron Boozer,PF,67,6
Donovan Clingan,C,68,6
Walker Kessler,C,69,6
Rudy Gobert,C,70,5
Chet Holmgren,PF/C,71,5
Ty Jerome,PG/SG,72,5
Joel Embiid,C,73,5
Brandin Podziemski,PG/SG,74,4
Alex Sarr,PF/C,75,4
Matas Buzelis,SF/PF,76,4
Miles Bridges,SF/PF,77,4
Ivica Zubac,C,78,4
AJ Dybantsa,SF,79,4
CJ McCollum,PG/SG,80,4
Coby White,PG/SG,81,4
Jaren Jackson Jr.,PF/C,82,4
Ja Morant,PG,83,3
VJ Edgecombe,SG,84,3
Dylan Harper,PG/SG,85,3
DeMar DeRozan,SF/PF,86,3
Derik Queen,PF/C,87,3
Reed Sheppard,PG/SG,88,3
Fred VanVleet,PG/SG,89,3
Payton Pritchard,PG/SG,90,3
Immanuel Quickley,PG/SG,91,2
OG Anunoby,SF/PF,92,2
Josh Hart,SG/SF,93,2
Darius Acuff Jr.,PG,94,2
Kel'el Ware,C,95,2
Jaden McDaniels,SF/PF,96,2
Ryan Rollins,PG/SG,97,2
Ayo Dosunmu,PG/SG,98,2
Kristaps Porzingis,PF/C,99,2
Kevin Porter Jr.,PG/SG,100,2
Nikola Vucevic,C,101,2
John Collins,PF/C,102,2
Ausar Thompson,SF/PF,103,2
RJ Barrett,SG/SF,104,2
Andrew Wiggins,SF/PF,105,2
Tobias Harris,SF/PF,106,2
Darryn Peterson,PG/SG,107,2
Paul George,SF/PF,108,2
Nic Claxton,C,109,2
Jakob Poeltl,C,110,2
Jaime Jaquez Jr.,SG/SF,111,1
Collin Gillespie,PG,112,1
Keegan Murray,SF/PF,113,1
Peyton Watson,SF/PF,114,1
Jalen Green,SG/SF,115,1
Zach Edey,C,116,1
Quentin Grimes,SG/SF,117,1
Cedric Coward,SG/SF,118,1
Jeremiah Fears,PG/SG,119,1
Jabari Smith Jr.,PF/C,120,1
Myles Turner,C,121,1
Collin Sexton,PG/SG,122,1
Andrew Nembhard,PG/SG,123,1
